,"coremark","mibench-basicmath_tiny","mibench-bitcnts","mibench-cjpeg_small","mibench-crc_32","mibench-csusan_small","mibench-dbf","mibench-dijkstra_small","mibench-djpeg_small","mibench-drijndael","mibench-ebf","mibench-erijndael","mibench-esusan_small","mibench-fft_tiny","mibench-ifft_tiny","mibench-patricia","mibench-qsort_small","mibench-rawcaudio","mibench-rawdaudio","mibench-rsynth_tiny","mibench-search_large","mibench-search_small","mibench-sha","mibench-ssusan_small","mrtc-adpcm","mrtc-bsort100","mrtc-bs","mrtc-cnt","mrtc-compress","mrtc-cover","mrtc-crc","mrtc-duff","mrtc-edn","mrtc-expint","mrtc-fac","mrtc-fdct","mrtc-fft1","mrtc-fibcall","mrtc-fir","mrtc-insertsort","mrtc-janne_complex","mrtc-jfdctint","mrtc-lcdnum","mrtc-lms","mrtc-loop3","mrtc-ludcmp","mrtc-matmult","mrtc-minmax","mrtc-minver","mrtc-ndes","mrtc-nsichneu","mrtc-ns","mrtc-qsort-exam","mrtc-qurt","mrtc-recursion","mrtc-select","mrtc-sqrt","mrtc-statemate","mrtc-ud"
pref_sf_1024_cbb_ideal,1.00174,1.01124,1.01018,1.01403,.97596,1.01075,1.04321,.99716,1.01225,1.00233,1.04288,1.00597,1.00674,1.01214,1.01261,1.01523,1.01338,1.07313,.99998,1.00704,1.02195,1.02155,.99780,1.00224,1.00251,1.00000,1.00833,1.00033,.97501,1.00100,1.00007,1.00176,1.00244,1.00001,1.01492,1.00061,1.00523,1.01492,1.00042,1.00162,1.00336,1.00028,1.00413,1.01751,1.01492,1.01804,1.00000,1.00735,1.02994,.99557,1.00011,1.00012,1.00027,1.00952,1.00036,1.00023,1.01492,1.00490,1.01005
pref_sf_1024_cbb_mc1k_16,.52125,.83699,1.00923,.82923,.97935,.77419,.94255,.94610,.96200,.95385,.94509,.93103,.75684,.79655,.80391,.87375,.88988,1.05576,.99998,.83321,.78302,.78769,.96126,.87989,1.00214,1.00004,1.02343,.99859,.97502,1.00641,1.00006,1.01136,.99603,1.00011,1.03272,1.00027,.96126,1.03272,1.00034,1.00056,1.01604,.99886,1.01219,.76747,1.03272,.72167,1.00000,1.00158,.80382,.98048,1.00022,1.00010,1.00001,.75886,1.00295,1.00003,1.03272,1.00117,.72482
pref_sf_1024_cbb_mc1k_32,.52125,.83699,1.00923,.82923,.97935,.77419,.94255,.94610,.96200,.95385,.94509,.93103,.75684,.79655,.80391,.87375,.88988,1.05576,.99998,.83321,.78302,.78769,.96126,.87989,1.00214,1.00004,1.02343,.99859,.97502,1.00641,1.00006,1.01136,.99603,1.00011,1.03272,1.00027,.96126,1.03272,1.00034,1.00056,1.01604,.99886,1.01219,.76747,1.03272,.72167,1.00000,1.00158,.80382,.98048,1.00022,1.00010,1.00001,.75886,1.00295,1.00003,1.03272,1.00117,.72482
pref_sf_1024_cbb_mc1k_4,.52130,.83804,1.00924,.82938,.97935,.77492,.95160,.96113,1.00977,.95385,.95266,.93103,.75723,.80105,.80787,.89748,.88988,1.05576,.99998,.83356,.78302,.78769,.96126,.91698,1.00219,1.00004,1.02343,.99859,.97502,1.00641,1.00006,1.01136,.99603,1.00011,1.03272,1.00027,.96126,1.03272,1.00034,1.00056,1.01604,.99886,1.01219,.76773,1.03272,.72167,1.00000,1.00158,.80382,.98048,1.00022,1.00010,1.00001,.76765,1.00295,1.00003,1.03272,1.00117,.78521
pref_sf_1024_cbb_mc1k_64,.52125,.83699,1.00923,.82923,.97935,.77419,.94255,.94610,.96200,.95385,.94509,.93103,.75684,.79655,.80391,.87375,.88988,1.05576,.99998,.83321,.78302,.78769,.96126,.87989,1.00214,1.00004,1.02343,.99859,.97502,1.00641,1.00006,1.01136,.99603,1.00011,1.03272,1.00027,.96126,1.03272,1.00034,1.00056,1.01604,.99886,1.01219,.76747,1.03272,.72167,1.00000,1.00158,.80382,.98048,1.00022,1.00010,1.00001,.75886,1.00295,1.00003,1.03272,1.00117,.72482
pref_sf_1024_cbb_mc1k_8,.52125,.83699,1.00923,.82924,.97935,.77419,.95160,.94610,.96715,.95385,.95266,.93103,.75684,.79668,.80404,.87375,.88988,1.05576,.99998,.83321,.78302,.78769,.96126,.87989,1.00214,1.00004,1.02343,.99859,.97502,1.00641,1.00006,1.01136,.99603,1.00011,1.03272,1.00027,.96126,1.03272,1.00034,1.00056,1.01604,.99886,1.01219,.76747,1.03272,.72167,1.00000,1.00158,.80382,.98048,1.00022,1.00010,1.00001,.75886,1.00295,1.00003,1.03272,1.00117,.72482
pref_sf_1024_cbb_mc1k_ideal,.52125,.83699,1.00923,.82923,.97935,.77419,.94255,.94610,.96200,.95385,.94509,.93103,.75684,.79655,.80391,.87375,.88988,1.05576,.99998,.83321,.78302,.78769,.96126,.87989,1.00214,1.00004,1.02343,.99859,.97502,1.00641,1.00006,1.01136,.99603,1.00011,1.03272,1.00027,.96126,1.03272,1.00034,1.00056,1.01604,.99886,1.01219,.76747,1.03272,.72167,1.00000,1.00158,.80382,.98048,1.00022,1.00010,1.00001,.75886,1.00295,1.00003,1.03272,1.00117,.72482
pref_sf_1024_cbb_mc2k_16,.99351,.91573,1.00978,.97891,.98279,.85310,.95956,.91039,.97857,.92217,.95886,.92390,.86697,.86473,.86904,.86657,.87420,1.06083,.99998,.84618,.82671,.82852,.99496,.90554,1.00217,1.00004,1.02343,.99857,.97486,1.00641,1.00006,1.01136,1.00227,1.00011,1.03272,1.00028,.99906,1.03272,1.00034,1.00056,1.01604,.99885,1.01219,.86309,1.03272,.81885,1.00000,1.00158,.83105,.99584,1.00022,1.00010,1.00019,.81939,1.00295,1.00016,1.03272,1.00117,.85487
pref_sf_1024_cbb_mc2k_32,.99350,.91573,1.00978,.97891,.98279,.85310,.95956,.91039,.97838,.92217,.95886,.92390,.86697,.86473,.86904,.86657,.87420,1.06083,.99998,.84618,.82671,.82852,.99496,.90554,1.00217,1.00004,1.02343,.99857,.97486,1.00641,1.00006,1.01136,1.00227,1.00011,1.03272,1.00028,.99906,1.03272,1.00034,1.00056,1.01604,.99885,1.01219,.86309,1.03272,.81885,1.00000,1.00158,.83105,.99584,1.00022,1.00010,1.00019,.81939,1.00295,1.00016,1.03272,1.00117,.85487
pref_sf_1024_cbb_mc2k_4,.99682,.93428,1.00960,1.14598,.98422,.89362,.96908,1.01919,1.09434,.95437,.96689,.93181,.89168,.88927,.89609,.93939,.87762,1.06083,.99998,.88718,.89348,.89975,.99646,.97716,1.00222,1.00004,1.02343,.99857,.97486,1.00641,1.00006,1.01136,1.00227,1.00011,1.03272,1.00028,.99907,1.03272,1.00034,1.00056,1.01604,.99885,1.01219,.88343,1.03272,.84191,1.00000,1.00158,.86828,.99584,1.00022,1.00010,1.00013,.87236,1.00295,1.00015,1.03272,1.00117,.92609
pref_sf_1024_cbb_mc2k_64,.99350,.91573,1.00978,.97891,.98279,.85310,.95956,.91039,.97838,.92217,.95886,.92390,.86697,.86473,.86904,.86657,.87420,1.06083,.99998,.84618,.82671,.82852,.99496,.90554,1.00217,1.00004,1.02343,.99857,.97486,1.00641,1.00006,1.01136,1.00227,1.00011,1.03272,1.00028,.99906,1.03272,1.00034,1.00056,1.01604,.99885,1.01219,.86309,1.03272,.81885,1.00000,1.00158,.83105,.99584,1.00022,1.00010,1.00019,.81939,1.00295,1.00016,1.03272,1.00117,.85487
pref_sf_1024_cbb_mc2k_8,.99453,.91897,1.00976,1.12647,.98280,.85417,.96883,.95021,1.03614,.92622,.96663,.92756,.86766,.86674,.87107,.89783,.87757,1.06083,.99998,.85217,.83410,.83575,.99497,.90672,1.00217,1.00004,1.02343,.99857,.97486,1.00641,1.00006,1.01136,1.00227,1.00011,1.03272,1.00028,.99906,1.03272,1.00034,1.00056,1.01604,.99885,1.01219,.86309,1.03272,.82034,1.00000,1.00158,.83291,.99584,1.00022,1.00010,1.00019,.82007,1.00295,1.00016,1.03272,1.00117,.85487
pref_sf_1024_cbb_mc2k_ideal,.99350,.91573,1.00978,.97891,.98279,.85310,.95956,.91039,.97838,.92217,.95886,.92390,.86697,.86473,.86904,.86657,.87420,1.06083,.99998,.84618,.82671,.82852,.99496,.90554,1.00217,1.00004,1.02343,.99857,.97486,1.00641,1.00006,1.01136,1.00227,1.00011,1.03272,1.00028,.99906,1.03272,1.00034,1.00056,1.01604,.99885,1.01219,.86309,1.03272,.81885,1.00000,1.00158,.83105,.99584,1.00022,1.00010,1.00019,.81939,1.00295,1.00016,1.03272,1.00117,.85487
pref_sf_1024_cbb_mc4k_16,.99980,.94142,1.00997,1.00327,.98634,.89663,1.02368,1.12588,1.00684,.96275,1.02306,.96763,.89174,.93864,.94156,.96553,1.00956,1.06083,.99998,.94537,.93144,.92025,1.01373,.91980,1.00136,1.00004,1.02343,.99857,.97486,1.00641,1.00006,1.01136,1.00227,1.00011,1.03272,1.00028,.99152,1.03272,1.00034,1.00056,1.01604,.99885,1.01219,.92153,1.03272,.94161,1.00000,1.00158,.97091,.99584,1.00022,1.00010,1.00019,.93766,1.00295,1.00016,1.03272,1.00117,.86236
pref_sf_1024_cbb_mc4k_32,.99656,.92163,1.00979,.99466,.98631,.89293,1.02346,.99479,.98971,.93314,1.02299,.93694,.88945,.92415,.92654,.92670,.90799,1.06083,.99998,.94233,.86931,.86474,.99786,.91943,1.00136,1.00004,1.02343,.99857,.97486,1.00641,1.00006,1.01136,1.00227,1.00011,1.03272,1.00028,.99152,1.03272,1.00034,1.00056,1.01604,.99885,1.01219,.90107,1.03272,.91884,1.00000,1.00158,.91542,.99584,1.00022,1.00010,1.00019,.92679,1.00295,1.00016,1.03272,1.00117,.60285
pref_sf_1024_cbb_mc4k_4,.99693,.99703,1.00960,1.17588,.98422,.94645,1.52119,1.01919,1.09523,.95437,1.48993,.93181,.92566,.98951,.99684,.93939,.87762,1.06083,.99998,.90526,.89349,.89975,.99646,1.04049,1.00222,1.00004,1.02343,.99857,.97486,1.00641,1.00006,1.01136,1.00227,1.00011,1.03272,1.00028,1.10091,1.03272,1.00034,1.00056,1.01604,.99885,1.01219,.90059,1.03272,.92017,1.00000,1.00158,.89423,.99584,1.00022,1.00010,1.00013,.93807,1.00295,1.00015,1.03272,1.00117,.92609
